name	SRR1944912_cds_rpm	SRR1944913_cds_rpm	SRR1944914_cds_rpm	SRR1944915_cds_rpm	SRR1944916_cds_rpm	SRR1944917_cds_rpm
NM_001178220.2	0.16	0.27	0.34	0.13	0.25	0.27
NM_001178221.1	21.27	22.57	21.55	22.66	21.79	19.67
NM_001178222.1	12.81	13.72	13.47	13.62	13.57	11.57
NM_001178223.1	0.05	0.09	0.0	0.0	0.0	0.0
NM_001178224.1	6.86	8.58	9.68	8.07	8.22	8.2
NM_001178225.1	8.73	8.62	8.17	8.25	7.77	9.11
NM_001178226.1	1.61	1.44	2.02	2.25	2.67	2.37
NM_001178227.1	35.53	32.59	41.59	29.19	31.25	34.33
NM_001178230.1	0.75	0.36	0.76	0.75	0.45	0.64
NM_001178235.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178236.1	0.16	0.54	0.0	0.62	0.64	0.64
NM_001178239.1	274.95	275.92	301.71	76.81	66.95	28.14
NM_001178241.1	46.3	49.03	50.26	62.13	58.68	55.01
NM_001178242.1	389.57	403.45	373.6	386.17	394.37	329.94
NM_001178243.1	373.07	373.43	370.91	366.15	379.52	333.68
NM_001178244.1	172.87	190.41	172.49	186.73	167.38	174.12
NM_001178245.1	9.22	8.76	14.23	10.32	7.48	13.84
NM_001178246.1	20.42	22.53	22.98	19.67	21.34	19.94
NM_001178247.1	300.56	318.31	257.26	307.64	261.07	284.23
NM_001178248.2	15.33	17.88	20.88	18.87	18.92	19.58
NM_001178249.1	34.13	36.25	38.98	32.32	29.37	29.42
NM_001178250.1	8.36	9.98	9.09	8.99	11.19	8.01
NM_001178251.1	38.9	42.07	39.48	31.88	28.97	30.23
NM_001178253.1	4.55	5.24	5.3	4.59	3.22	2.91
NM_001178254.2	4.66	7.67	8.33	9.22	9.01	10.29
NM_001178255.1	22.88	23.93	23.23	22.31	19.96	20.85
NM_001178256.1	24.6	25.28	26.01	24.16	27.63	27.78
NM_001178257.1	176.67	186.44	190.84	189.25	192.73	174.49
NM_001178258.1	12.06	12.37	15.66	14.07	12.33	12.2
NM_001178259.1	3.97	4.06	5.39	5.03	4.95	3.82
NM_001178260.1	23.74	25.37	27.11	20.99	21.34	18.85
NM_001178261.1	5.73	8.4	6.82	10.98	11.14	10.2
NM_001178262.1	143.24	150.06	147.57	233.74	207.19	236.05
NM_001178263.1	42.71	50.52	50.59	46.91	41.4	48.08
NM_001178264.1	213.76	219.94	237.39	209.22	212.09	218.75
NM_001178265.1	5.89	7.13	5.89	7.72	6.44	7.01
NM_001178266.1	29.37	28.71	37.12	23.37	27.73	23.86
NM_001178267.1	1790.26	1767.99	1617.65	1828.98	1827.57	1614.56
NM_001178268.1	43.46	43.97	45.04	49.03	44.27	41.35
NM_001178269.1	2.68	2.84	2.36	2.65	2.43	1.37
NM_001178270.1	289.63	312.44	291.69	378.01	361.44	332.49
NM_001178271.1	7.34	6.82	7.32	8.95	8.17	6.65
NM_001178272.1	115.48	119.04	111.46	102.3	96.12	92.34
NM_001178273.1	23.2	24.06	27.36	25.66	25.5	27.87
NM_001178274.1	30.17	32.73	33.5	34.66	33.72	32.51
NM_001178275.1	38.9	39.46	36.11	44.71	41.99	38.34
NM_001178276.1	48.5	57.24	52.95	72.05	67.89	64.39
NM_001178277.1	29.69	28.35	32.24	35.23	29.51	36.43
NM_001178278.1	17.95	18.15	20.71	26.41	23.77	21.67
NM_001178279.1	372.37	377.49	357.19	339.43	335.74	315.46
NM_001178280.1	52.57	55.8	52.19	58.47	63.24	57.56
NM_001178281.1	137.18	143.96	143.19	131.31	128.9	126.68
NM_001178282.1	63.55	67.44	61.62	51.06	47.39	54.82
NM_001178283.1	0.16	0.14	0.25	0.13	0.54	0.36
NM_001178284.1	0.0	0.0	0.0	0.09	0.0	0.18
NM_001178285.1	84.51	94.76	83.59	135.41	136.33	123.13
NM_001178286.1	12.43	14.45	14.56	18.61	18.17	17.76
NM_001178287.1	280.26	289.41	252.21	366.41	313.71	335.23
NM_001178289.1	0.27	0.45	0.42	0.35	0.35	0.55
NM_001178290.1	68.43	71.82	62.04	74.52	74.77	66.66
NM_001178291.1	91.63	101.53	88.14	131.18	114.44	127.41
NM_001178292.1	6.38	5.64	7.74	6.92	6.59	7.1
NM_001178294.1	35.42	36.34	38.98	30.82	31.59	34.79
NM_001178295.1	19.93	18.1	19.95	16.14	17.33	18.4
NM_001178296.2	86.7	84.42	92.94	93.26	87.3	91.62
NM_001178297.2	22.99	22.21	23.91	24.12	23.72	24.59
NM_001178298.1	144.25	150.87	126.02	220.91	206.2	205.18
NM_001178299.1	4.77	5.6	5.64	7.63	7.53	7.29
NM_001178300.1	8.52	8.8	10.1	11.29	10.15	9.74
NM_001178301.1	36.33	40.85	35.44	42.73	37.93	39.07
NM_001178303.1	14.74	17.02	16.33	17.46	14.91	16.39
NM_001178304.1	39.17	38.01	38.13	58.6	59.08	55.46
NM_001178306.1	8.73	8.26	9.26	9.92	10.35	10.02
NM_001178307.2	22.02	27.0	25.25	22.09	19.76	22.59
NM_001178308.2	59.96	57.42	58.09	63.54	63.14	61.65
NM_001178309.1	36.28	36.7	33.76	37.13	33.62	33.7
NM_001178312.1	3500.41	3375.27	3066.18	3150.4	3188.41	2900.91
NM_001178314.1	6.64	8.71	9.09	8.33	8.07	8.56
NM_001178315.1	1.13	2.21	0.84	5.25	4.65	2.55
NM_001178316.1	921.95	932.25	962.04	1093.15	1010.49	1045.29
NM_001178318.1	5.09	6.18	5.14	10.14	9.8	8.74
NM_001178319.1	71.0	75.62	76.77	85.94	82.55	88.97
NM_001178320.2	6.32	4.79	5.05	6.04	6.04	5.74
NM_001178321.1	23.52	23.97	23.66	21.69	23.97	25.95
NM_001178322.1	26.47	26.09	26.18	25.18	24.81	27.87
NM_001178324.2	10.34	10.74	10.94	9.74	10.7	11.02
NM_001178325.1	44.53	48.39	44.28	50.97	47.84	43.9
NM_001178326.1	15.49	13.59	13.22	19.58	20.55	18.94
NM_001178327.1	1113.47	1121.0	1093.87	1094.74	1072.1	1092.01
NM_001178328.2	7.13	5.46	8.33	7.41	6.44	6.28
NM_001178329.1	11.68	10.92	13.39	12.65	13.77	13.48
NM_001178330.1	15.22	16.48	15.99	21.21	18.47	16.48
NM_001178331.2	126.78	132.63	130.4	112.88	111.96	114.75
NM_001178332.1	1949.25	1950.6	1623.88	1856.27	1989.94	1504.73
NM_001178333.1	25.45	24.02	28.54	28.66	28.57	31.78
NM_001178335.1	3.86	3.66	3.79	2.56	2.82	2.09
NM_001178337.2	13.88	14.22	13.64	14.55	14.76	15.39
NM_001178338.1	20.42	22.3	20.62	24.38	26.64	22.95
NM_001178339.2	444.18	478.83	409.97	505.0	506.34	475.47
NM_001178341.1	27.44	27.9	25.68	33.55	31.84	35.15
NM_001178342.1	34.03	33.41	39.4	45.9	45.51	46.99
NM_001178343.1	18.27	17.47	15.99	16.27	15.95	16.67
NM_001178344.1	18.7	18.51	17.59	19.27	19.46	22.86
NM_001178345.2	36.92	45.73	46.81	50.05	48.78	46.26
NM_001178346.2	11.15	11.65	16.58	8.55	9.36	8.11
NM_001178347.1	11.2	11.56	12.54	14.15	14.26	13.93
NM_001178349.1	22.13	24.2	21.97	29.01	25.55	26.32
NM_001178350.1	15.0	16.84	14.65	14.99	15.35	16.03
NM_001178351.1	19.72	23.79	21.8	20.64	21.99	22.22
NM_001178352.2	20.52	18.73	19.11	22.75	21.05	18.4
NM_001178353.1	4.88	5.87	5.56	6.35	6.83	6.47
NM_001178354.1	9.38	11.11	13.47	12.74	11.84	12.48
NM_001178355.2	16.13	15.26	16.42	17.68	16.04	14.94
NM_001178356.1	2.68	5.64	8.92	6.04	6.73	5.1
NM_001178357.1	536.4	522.04	511.75	591.51	565.71	504.8
NM_001178358.1	702.35	673.67	668.83	668.01	682.77	621.73
NM_001178359.1	1117.65	1075.09	1128.38	1018.77	1103.1	1084.63
NM_001178361.1	3.32	3.7	3.7	6.22	5.25	5.19
NM_001178362.1	29.2	31.96	31.65	30.51	29.46	27.5
NM_001178363.1	78.88	83.97	83.93	82.59	81.56	90.89
NM_001178364.1	47.26	46.81	42.18	58.6	55.46	48.36
NM_001178365.1	106.26	110.24	114.91	125.49	121.77	126.59
NM_001178366.1	0.11	0.09	0.25	0.35	0.3	0.36
NM_001178367.1	0.27	0.41	0.59	0.26	0.54	0.36
NM_001178368.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178369.1	12.59	14.17	12.8	9.17	10.05	10.66
NM_001178370.1	8.84	8.89	10.02	12.48	11.79	12.29
NM_001178371.1	68.59	75.03	73.24	83.56	80.91	82.05
NM_001178372.1	9.59	9.03	10.44	8.69	8.37	9.2
NM_001178373.1	697.64	707.58	719.59	738.87	713.28	679.74
NM_001178374.1	51.6	59.86	48.57	77.78	76.56	73.86
NM_001178376.1	20.52	20.09	20.37	18.83	20.95	23.68
NM_001178377.1	52.89	60.67	56.74	62.3	55.41	62.2
NM_001178378.1	11.68	11.83	11.87	14.9	15.95	16.94
NM_001178379.1	4681.72	4525.75	3875.01	3953.6	3956.85	3731.28
NM_001178381.1	0.38	0.45	0.51	0.31	0.1	0.09
NM_001178382.1	85.74	86.99	88.39	79.24	78.69	81.42
NM_001178383.1	73.9	76.79	73.07	74.21	71.65	70.12
NM_001178384.1	73.47	70.11	76.1	85.01	78.83	90.7
NM_001178385.1	18.11	17.47	13.89	21.12	20.25	20.13
NM_001178386.1	100.42	105.05	102.53	114.11	111.27	113.65
NM_001178387.1	117.84	133.53	121.22	170.46	174.11	138.61
NM_001178388.1	0.16	0.5	0.25	0.4	0.2	0.73
NM_001178389.1	40.4	45.14	45.12	45.59	46.5	50.73
NM_001178390.1	24.06	28.53	28.29	25.44	23.67	26.32
NM_001178391.2	5.25	5.37	6.31	5.64	5.89	7.56
NM_001178392.2	6.16	5.28	5.3	5.03	5.6	4.74
NM_001178393.2	1.07	1.49	1.43	1.15	1.04	0.91
NM_001178394.1	28.88	30.16	29.97	32.54	31.1	29.69
NM_001178395.1	5.73	5.69	6.57	6.48	6.49	6.19
NM_001178396.1	1452.02	1413.26	1271.24	1236.5	1276.27	1196.28
NM_001178397.1	98.92	108.43	80.23	111.07	90.62	98.45
NM_001178398.1	0.64	0.9	0.17	0.49	0.5	0.46
NM_001178400.1	43.4	43.92	51.27	56.88	59.97	60.01
NM_001178401.1	34.72	37.47	39.14	21.08	21.1	21.67
NM_001178402.1	28.62	34.99	37.63	16.8	12.08	13.66
NM_001178403.1	18.7	26.95	21.72	24.6	21.69	23.77
NM_001178404.1	32.69	36.7	36.62	41.93	40.21	42.71
NM_001178405.1	18.17	19.91	17.51	21.56	21.54	19.22
NM_001178406.1	61.73	66.59	61.54	69.05	72.15	71.76
NM_001178407.1	57.23	61.3	59.85	79.32	65.17	77.5
NM_001178408.1	19.77	22.3	19.53	20.77	17.78	20.4
NM_001178409.3	34.19	34.53	34.09	31.53	33.13	31.33
NM_001178410.1	15.16	15.12	17.43	17.73	19.41	17.58
NM_001178411.1	0.0	0.05	0.08	0.44	0.2	0.18
NM_001178413.3	11.04	11.38	13.47	13.32	13.52	12.48
NM_001178414.1	12.22	15.39	13.97	11.64	11.34	10.84
NM_001178415.1	220.99	199.76	242.45	158.78	172.53	228.31
NM_001178416.4	161.51	179.9	163.73	244.01	230.71	220.11
NM_001178417.1	1.02	1.63	1.94	1.72	0.89	2.46
NM_001178418.1	12.32	13.0	14.14	11.68	11.69	10.84
NM_001178419.3	20.63	25.46	23.4	30.87	31.2	30.6
NM_001178420.1	12.59	10.61	14.4	18.74	15.6	11.75
NM_001178421.4	51.07	55.03	60.53	69.98	67.84	71.31
NM_001178422.2	68.27	75.16	72.14	67.33	65.91	63.57
NM_001178424.2	0.11	0.14	0.17	0.22	0.0	0.09
NM_001178425.3	15.75	17.7	17.26	20.15	22.53	17.76
NM_001178426.2	1760.52	1794.17	1660.67	1551.77	1531.39	1600.08
NM_001178427.1	446.32	433.29	427.14	426.25	372.09	429.66
NM_001178428.3	144.9	153.62	150.35	164.86	163.12	150.35
NM_001178429.1	28.35	28.94	27.28	30.91	30.26	29.23
NM_001178430.1	261.77	255.74	274.69	250.85	277.61	278.4
NM_001178431.3	33.12	43.43	34.68	33.33	35.6	40.8
NM_001178432.1	283.31	291.85	279.74	272.98	287.46	264.1
NM_001178433.3	9.32	9.43	11.45	9.79	7.28	7.19
NM_001178434.1	142.7	164.14	151.02	137.92	131.92	131.05
NM_001178435.3	29.63	31.78	34.18	30.64	30.65	29.6
NM_001178436.1	90.51	89.38	97.57	89.38	93.79	97.81
NM_001178438.4	32.58	31.69	26.52	28.75	27.83	24.5
NM_001178439.1	11.74	9.53	10.35	10.45	12.33	11.29
NM_001178440.1	198.38	198.36	223.08	208.38	222.49	247.43
NM_001178441.3	95.81	90.87	98.66	42.73	48.68	47.63
NM_001178442.2	33.6	37.65	35.69	39.2	33.62	33.79
NM_001178443.1	14.9	17.34	15.83	20.68	18.72	16.94
NM_001178444.3	40.78	47.99	46.3	53.75	49.47	50.0
NM_001178445.2	15.43	14.94	17.09	14.64	14.51	16.3
NM_001178446.1	4.66	5.73	5.81	6.88	5.74	7.01
NM_001178449.3	72.07	72.73	68.95	103.44	98.1	81.05
NM_001178450.1	28.24	35.89	34.01	42.77	39.27	37.79
NM_001178451.1	13.18	14.36	16.16	18.43	17.73	17.49
NM_001178452.3	21.22	24.78	28.54	19.93	20.45	18.12
NM_001178453.1	9.38	9.71	9.77	10.85	10.15	13.39
NM_001178454.1	324.25	312.35	308.78	277.65	291.12	290.87
NM_001178455.3	2.63	1.58	1.85	2.91	2.18	2.19
NM_001178456.2	28.08	34.22	24.41	32.19	28.28	30.42
NM_001178457.1	191.25	181.16	182.0	190.17	192.33	161.47
NM_001178458.3	24.44	27.27	27.02	31.31	29.96	30.23
NM_001178459.1	84.34	88.75	84.77	95.68	88.89	92.71
NM_001178460.3	97.37	92.36	88.39	92.33	77.6	93.89
NM_001178462.1	6.97	7.95	9.77	9.83	9.71	10.66
NM_001178463.1	289.2	283.95	265.6	526.07	460.83	479.93
NM_001178465.3	0.54	0.41	0.34	0.66	0.5	0.82
NM_001178466.1	29493.88	28533.4	26764.9	27537.45	28060.95	26898.42
NM_001178467.1	9.75	9.8	10.19	9.35	8.37	8.47
NM_001178468.3	5.2	7.85	7.32	10.14	6.98	7.65
NM_001178469.2	568.28	568.08	625.39	566.33	543.92	582.2
NM_001178470.1	23.74	21.58	22.48	33.29	29.17	33.33
NM_001178471.3	21.43	25.64	28.03	30.51	26.0	25.68
NM_001178473.1	13.72	14.22	18.1	18.78	20.1	22.49
NM_001178474.1	146.4	150.15	150.27	212.22	209.76	200.35
NM_001178475.3	823.62	805.72	813.96	870.84	862.53	829.82
NM_001178476.1	0.8	1.31	1.43	1.15	1.04	0.73
NM_001178477.1	14.09	14.22	13.55	16.8	16.44	13.93
NM_001178478.3	37.99	42.98	37.29	47.0	41.15	38.52
NM_001178479.3	8.04	7.76	7.83	9.61	8.27	8.47
NM_001178480.1	15.7	15.35	17.68	18.74	17.83	20.49
NM_001178481.1	24.01	24.92	25.59	21.25	23.67	20.4
NM_001178483.3	28.29	29.3	28.87	25.4	26.29	25.59
NM_001178484.3	14.63	12.73	16.25	13.76	12.43	12.11
NM_001178485.2	22.08	25.33	23.74	28.53	27.93	25.68
NM_001178486.2	10.5	10.88	11.87	13.01	11.34	11.11
NM_001178487.3	47.69	56.84	61.03	59.17	59.08	69.39
NM_001178488.3	46.24	46.68	53.29	46.47	40.85	49.45
NM_001178489.2	10.61	10.43	12.54	16.49	16.14	15.75
NM_001178490.1	67.3	69.7	72.31	71.47	73.64	75.59
NM_001178491.3	354.85	382.14	359.8	415.49	393.33	374.38
NM_001178493.3	6.11	5.82	6.48	9.13	7.23	6.56
NM_001178494.1	27.22	27.54	29.46	25.62	23.62	25.41
NM_001178495.1	0.38	0.72	0.0	0.4	0.54	0.18
NM_001178496.3	0.64	1.72	1.26	1.1	1.34	1.09
NM_001178497.3	106.48	113.54	104.55	130.47	115.58	117.75
NM_001178498.1	10.29	12.73	10.52	11.51	10.65	11.2
NM_001178499.1	66.23	80.49	70.63	73.24	72.1	65.02
NM_001178500.3	5.89	6.86	6.48	6.7	5.0	8.01
NM_001178501.3	5.52	5.01	7.91	6.97	7.82	7.1
NM_001178502.1	102.3	115.43	119.37	113.45	108.15	102.45
NM_001178503.1	49.94	52.95	51.27	53.22	49.47	50.0
NM_001178504.3	10.4	12.01	11.7	13.62	12.28	12.39
NM_001178505.3	8.63	10.52	8.92	8.07	8.17	6.92
NM_001178506.1	58.46	61.89	60.95	63.1	63.88	57.56
NM_001178507.1	94.95	106.63	113.98	95.06	89.23	101.0
NM_001178508.3	34.4	36.39	37.71	39.6	35.65	35.88
NM_001178509.3	10.82	13.09	10.69	10.41	10.05	11.38
NM_001178510.1	487.58	484.43	518.4	368.35	379.81	378.48
NM_001178511.3	5.14	5.01	4.38	4.72	4.9	3.64
NM_001178512.3	49.35	53.22	54.72	63.45	68.78	67.94
NM_001178513.1	8.9	11.78	13.72	11.68	11.04	13.39
NM_001178514.1	36.28	41.58	42.43	40.39	37.73	43.26
NM_001178515.3	5.63	5.37	7.58	6.66	6.24	5.19
NM_001178516.3	4.5	3.93	5.98	4.54	4.65	5.37
NM_001178517.1	24.81	25.46	27.53	15.96	16.69	15.21
NM_001178518.1	45.87	44.83	50.51	58.11	56.35	59.01
NM_001178519.3	48.17	56.25	51.35	71.17	63.88	63.84
NM_001178520.3	51.17	54.49	49.58	63.23	51.75	59.29
NM_001178521.1	60.66	58.23	56.91	60.01	60.22	61.47
NM_001178523.1	10.23	10.92	12.21	17.42	15.5	15.66
NM_001178524.3	17.04	17.88	17.34	18.61	17.88	17.03
NM_001178525.3	57.98	63.16	62.55	97.8	97.75	90.25
NM_001178527.1	20.09	22.75	23.99	21.43	19.31	21.13
NM_001178528.1	0.38	0.18	0.08	0.09	0.1	0.09
NM_001178529.3	3302.89	3202.92	2952.87	3249.66	3209.6	2961.84
NM_001178530.3	1.5	1.35	1.18	1.41	0.94	0.91
NM_001178531.1	3.16	3.48	3.7	5.2	6.04	5.46
NM_001178532.3	2.52	3.3	2.78	1.94	2.62	1.64
NM_001178533.3	15.27	13.99	12.54	16.8	17.03	16.76
NM_001178534.1	0.27	0.27	0.17	0.09	0.15	0.0
NM_001178535.1	73.57	76.97	78.63	88.23	86.06	93.07
NM_001178536.3	8.84	8.4	7.07	8.33	7.77	8.56
NM_001178537.3	2053.31	2058.17	1912.12	2064.17	2054.81	1805.9
NM_001178539.1	1894.06	1794.22	1735.67	1656.88	1706.19	1580.23
NM_001178540.1	15.33	17.97	18.1	16.93	16.29	17.21
NM_001178541.3	10.61	11.11	13.47	10.27	10.25	11.66
NM_001178542.3	2.79	4.51	4.12	5.73	5.55	5.56
NM_001178543.1	11.2	11.38	13.64	14.33	13.37	13.93
NM_001178544.1	2179.78	2103.36	2269.22	2185.78	2101.75	2305.5
NM_001178545.1	10.02	10.43	8.33	9.7	9.95	11.66
NM_001178546.1	59.16	60.76	52.45	85.72	73.98	82.6
NM_001178547.3	48.12	52.77	57.5	57.72	50.71	49.91
NM_001178548.3	28.03	31.33	35.27	31.17	31.1	29.96
NM_001178549.1	5.47	5.42	6.9	6.66	6.34	5.37
NM_001178550.4	53.37	55.12	58.09	58.78	57.64	61.65
NM_001178551.2	1.5	1.9	2.44	1.01	1.44	1.37
NM_001178552.2	11.57	12.69	13.47	11.91	12.18	13.75
NM_001178553.3	89.22	88.84	106.32	83.34	82.15	95.17
NM_001178555.4	36.65	37.29	34.51	41.05	38.63	38.16
NM_001178556.1	20.79	19.82	25.76	32.54	25.5	33.7
NM_001178558.1	11.47	9.57	11.87	10.49	10.6	12.57
NM_001178559.3	10.18	11.06	10.94	11.11	12.23	10.84
NM_001178560.3	57.82	58.82	53.88	67.59	69.48	68.76
NM_001178561.1	6.97	7.27	9.43	6.22	7.08	8.47
NM_001178562.1	23.31	21.44	19.19	29.9	25.75	27.68
NM_001178563.3	23.85	28.85	21.38	28.75	24.91	26.59
NM_001178564.3	22.13	20.86	22.9	23.15	21.05	21.31
NM_001178565.1	3.11	2.66	2.69	3.13	1.88	2.09
NM_001178566.1	195.7	191.0	210.88	209.71	214.47	220.84
NM_001178567.3	2.52	3.97	2.86	2.78	2.23	2.46
NM_001178568.3	23.31	26.27	26.77	22.44	20.85	25.04
NM_001178569.1	298.15	301.15	314.17	266.81	268.54	298.62
NM_001178570.3	74.65	78.28	79.38	73.11	76.26	81.05
NM_001178571.3	3.16	3.88	4.21	4.63	4.9	3.92
NM_001178573.1	12.11	12.78	11.45	13.1	12.03	10.66
NM_001178575.1	22.83	21.44	23.66	21.56	21.1	21.04
NM_001178576.3	4.77	4.6	5.22	6.44	6.09	5.28
NM_001178577.3	71.0	74.62	74.33	80.12	80.57	82.24
NM_001178578.1	27.7	28.71	27.86	32.76	35.41	35.79
NM_001178579.3	10.5	10.47	9.77	16.27	14.21	14.94
NM_001178581.3	17.58	18.55	18.52	15.79	13.82	15.12
NM_001178582.1	110.44	112.45	115.67	120.86	118.5	119.03
NM_001178583.3	23.79	22.39	24.24	24.3	21.94	20.4
NM_001178584.3	29.04	30.2	27.7	33.78	33.28	28.87
NM_001178585.1	9.16	11.11	11.11	12.43	11.54	10.75
NM_001178586.1	31.78	30.47	32.07	28.18	29.12	28.78
NM_001178587.3	7.13	5.37	7.41	5.78	5.79	5.65
NM_001178588.3	0.91	0.9	1.6	0.79	0.84	0.46
NM_001178589.1	8.04	9.21	10.27	10.94	11.39	13.66
NM_001178590.1	21.17	22.89	20.88	21.69	23.77	19.58
NM_001178591.3	33.17	34.31	34.77	37.39	32.88	36.34
NM_001178592.3	62.11	67.76	58.68	64.07	63.19	50.82
NM_001178593.1	125.66	136.15	125.94	154.33	146.73	150.72
NM_001178594.1	18.59	18.51	22.65	24.34	22.18	25.41
