length	frame0	rpfs0	frame1	rpfs1	frame2	rpfs2	rpfs	p_site	periodicity	ribo
70	12	0	13	0	14	0	0	13	100	first
71	12	0	13	0	14	0	0	13	100	first
72	12	0	13	0	14	0	0	13	100	first
73	12	0	13	0	14	0	0	13	100	first
74	12	0	13	0	14	0	0	13	100	first
75	12	0	13	0	14	0	0	13	100	first
76	12	0	13	0	14	0	0	13	100	first
77	12	0	13	0	14	0	0	13	100	first
78	12	0	13	0	14	0	0	13	100	first
79	12	0	13	0	14	0	0	13	100	first
80	12	0	13	0	14	0	0	13	100	first
81	12	0	13	0	14	0	0	13	100	first
82	12	0	13	0	14	0	0	13	100	first
83	12	0	13	0	14	0	0	13	100	first
84	12	0	13	0	14	0	0	13	100	first
85	12	0	13	0	14	0	0	13	100	first
86	12	0	13	0	14	0	0	13	100	first
87	12	0	13	0	14	0	0	13	100	first
88	12	0	13	0	14	0	0	13	100	first
89	12	0	13	0	14	0	0	13	100	first
90	12	0	13	0	14	0	0	13	100	first
91	12	0	13	0	14	0	0	13	100	first
92	12	0	13	0	14	0	0	13	100	first
93	12	0	13	0	14	0	0	13	100	first
94	12	0	13	0	14	0	0	13	100	first
95	12	0	13	0	14	0	0	13	100	first
96	12	0	13	0	14	0	0	13	100	first
97	12	0	13	0	14	0	0	13	100	first
98	12	0	13	0	14	0	0	13	100	first
99	12	0	13	0	14	0	0	13	100	first
100	12	0	13	0	14	0	0	13	100	first
101	12	0	13	0	14	0	0	13	100	first
102	12	0	13	0	14	0	0	13	100	first
103	12	0	13	0	14	0	0	13	100	first
104	12	0	13	0	14	0	0	13	100	first
105	12	0	13	0	14	0	0	13	100	first
106	12	0	13	0	14	0	0	13	100	first
107	12	0	13	0	14	0	0	13	100	first
108	12	0	13	0	14	0	0	13	100	first
109	12	0	13	0	14	0	0	13	100	first
110	12	0	13	0	14	0	0	13	100	first
111	12	0	13	0	14	0	0	13	100	first
112	12	0	13	0	14	0	0	13	100	first
113	12	0	13	0	14	0	0	13	100	first
114	12	0	13	0	14	0	0	13	100	first
115	12	0	13	0	14	0	0	13	100	first
116	12	0	13	0	14	0	0	13	100	first
117	12	0	13	0	14	0	0	13	100	first
118	12	0	13	0	14	0	0	13	100	first
119	12	0	13	0	14	0	0	13	100	first
120	12	0	13	0	14	0	0	13	100	first
121	12	0	13	0	14	0	0	13	100	first
122	12	0	13	0	14	0	0	13	100	first
123	12	0	13	0	14	0	0	13	100	first
124	12	0	13	0	14	0	0	13	100	first
125	12	0	13	0	14	0	0	13	100	first
126	12	0	13	0	14	0	0	13	100	first
127	12	0	13	0	14	0	0	13	100	first
128	12	0	13	0	14	0	0	13	100	first
129	12	0	13	0	14	0	0	13	100	first
130	12	0	13	0	14	0	0	13	100	first
131	12	0	13	0	14	0	0	13	100	first
132	12	0	13	0	14	0	0	13	100	first
133	12	0	13	0	14	0	0	13	100	first
134	12	0	13	0	14	0	0	13	100	first
135	12	0	13	0	14	0	0	13	100	first
136	12	0	13	0	14	0	0	13	100	first
137	12	0	13	0	14	0	0	13	100	first
138	12	0	13	0	14	0	0	13	100	first
139	12	0	13	0	14	0	0	13	100	first
140	12	0	13	0	14	0	0	13	100	first
141	12	0	13	0	14	0	0	13	100	first
142	12	0	13	0	14	0	0	13	100	first
143	12	0	13	0	14	0	0	13	100	first
144	12	0	13	0	14	0	0	13	100	first
145	12	0	13	0	14	0	0	13	100	first
146	12	0	13	0	14	0	0	13	100	first
147	12	0	13	0	14	0	0	13	100	first
148	12	0	13	0	14	0	0	13	100	first
149	12	0	13	0	14	0	0	13	100	first
150	12	0	13	0	14	0	0	13	100	first
