Sample	Tercile	Covered	Uncovered
R_GR_in_07d_2	80	54806	19440
R_GR_in_07d_2	90	54806	19440
R_GR_in_07d_2	0	74246	0
R_GR_in_07d_3	10	49407	24839
R_GR_in_07d_3	20	52398	21848
R_GR_in_07d_3	30	53441	20805
R_GR_in_07d_3	40	54018	20228
R_GR_in_07d_3	50	54346	19900
R_GR_in_07d_3	60	54533	19713
R_GR_in_07d_3	70	54696	19550
R_GR_in_07d_3	80	54784	19462
R_GR_in_07d_3	90	54911	19335
R_GR_in_07d_3	0	74246	0
R_GR_un_07d_1	10	53133	21113
R_GR_un_07d_1	20	57590	16656
R_GR_un_07d_1	30	59483	14763
R_GR_un_07d_1	40	60472	13774
R_GR_un_07d_1	50	61280	12966
R_GR_un_07d_1	60	61812	12434
R_GR_un_07d_1	70	62267	11979
R_GR_un_07d_1	80	62598	11648
R_GR_un_07d_1	90	62919	11327
R_GR_un_07d_1	0	74246	0
R_GR_un_07d_2	10	51884	22362
R_GR_un_07d_2	20	56156	18090
R_GR_un_07d_2	30	57921	16325
R_GR_un_07d_2	40	59063	15183
R_GR_un_07d_2	50	59706	14540
R_GR_un_07d_2	60	60196	14050
R_GR_un_07d_2	70	60512	13734
R_GR_un_07d_2	80	60743	13503
R_GR_un_07d_2	90	61037	13209
R_GR_un_07d_2	0	74246	0
R_GR_un_07d_3	10	52719	21527
R_GR_un_07d_3	20	56933	17313
R_GR_un_07d_3	30	59013	15233
R_GR_un_07d_3	40	60038	14208
R_GR_un_07d_3	50	60708	13538
R_GR_un_07d_3	60	61406	12840
R_GR_un_07d_3	70	61657	12589
R_GR_un_07d_3	80	62100	12146
R_GR_un_07d_3	90	62319	11927
R_GR_un_07d_3	0	74246	0
R_GR_in_10d_1	10	46881	27365
R_GR_in_10d_1	20	48511	25735
R_GR_in_10d_1	30	48945	25301
R_GR_in_10d_1	40	49193	25053
R_GR_in_10d_1	50	49292	24954
R_GR_in_10d_1	60	49352	24894
R_GR_in_10d_1	70	49483	24763
R_GR_in_10d_1	80	49483	24763
R_GR_in_10d_1	90	49508	24738
R_GR_in_10d_1	0	74246	0
R_GR_in_10d_2	10	41677	32569
R_GR_in_10d_2	20	43989	30257
R_GR_in_10d_2	30	44886	29360
R_GR_in_10d_2	40	45290	28956
R_GR_in_10d_2	50	45551	28695
R_GR_in_10d_2	60	45688	28558
R_GR_in_10d_2	70	45903	28343
R_GR_in_10d_2	80	45996	28250
R_GR_in_10d_2	90	46133	28113
R_GR_in_10d_2	0	74246	0
R_GR_in_10d_3	10	49740	24506
R_GR_in_10d_3	20	52995	21251
R_GR_in_10d_3	30	54226	20020
R_GR_in_10d_3	40	54734	19512
R_GR_in_10d_3	50	55107	19139
R_GR_in_10d_3	60	55379	18867
R_GR_in_10d_3	70	55631	18615
R_GR_in_10d_3	80	55692	18554
R_GR_in_10d_3	90	55815	18431
R_GR_in_10d_3	0	74246	0
R_GR_un_10d_1	10	49410	24836
R_GR_un_10d_1	20	54267	19979
R_GR_un_10d_1	30	56580	17666
R_GR_un_10d_1	40	57913	16333
R_GR_un_10d_1	50	58886	15360
R_GR_un_10d_1	60	59475	14771
R_GR_un_10d_1	70	59925	14321
R_GR_un_10d_1	80	60520	13726
R_GR_un_10d_1	90	60844	13402
R_GR_un_10d_1	0	74246	0
R_GR_un_10d_2	10	50666	23580
R_GR_un_10d_2	20	55647	18599
R_GR_un_10d_2	30	57912	16334
R_GR_un_10d_2	40	59205	15041
R_GR_un_10d_2	50	60067	14179
R_GR_un_10d_2	60	60852	13394
R_GR_un_10d_2	70	61448	12798
R_GR_un_10d_2	80	61902	12344
R_GR_un_10d_2	90	62104	12142
R_GR_un_10d_2	0	74246	0
R_GR_un_10d_3	10	46092	28154
R_GR_un_10d_3	20	51526	22720
R_GR_un_10d_3	30	53630	20616
R_GR_un_10d_3	40	55067	19179
R_GR_un_10d_3	50	55907	18339
R_GR_un_10d_3	60	56550	17696
R_GR_un_10d_3	70	57101	17145
R_GR_un_10d_3	80	57388	16858
R_GR_un_10d_3	90	57674	16572
R_GR_un_10d_3	0	74246	0
R_GR_in_15d_1	10	46552	27694
R_GR_in_15d_1	20	51556	22690
R_GR_in_15d_1	30	54148	20098
R_GR_in_15d_1	40	55544	18702
R_GR_in_15d_1	50	56659	17587
R_GR_in_15d_1	60	57179	17067
R_GR_in_15d_1	70	57927	16319
R_GR_in_15d_1	80	58302	15944
R_GR_in_15d_1	90	58734	15512
R_GR_in_15d_1	0	74246	0
R_GR_in_15d_2	10	46179	28067
R_GR_in_15d_2	20	51551	22695
R_GR_in_15d_2	30	53816	20430
R_GR_in_15d_2	40	55384	18862
R_GR_in_15d_2	50	56346	17900
R_GR_in_15d_2	60	56963	17283
R_GR_in_15d_2	70	57575	16671
R_GR_in_15d_2	80	57977	16269
R_GR_in_15d_2	90	58372	15874
R_GR_in_15d_2	0	74246	0
R_GR_in_15d_3	10	19128	55118
R_GR_in_15d_3	20	26537	47709
R_GR_in_15d_3	30	31313	42933
R_GR_in_15d_3	40	34214	40032
R_GR_in_15d_3	50	37160	37086
R_GR_in_15d_3	60	38840	35406
R_GR_in_15d_3	70	40386	33860
R_GR_in_15d_3	80	41693	32553
R_GR_in_15d_3	90	42533	31713
R_GR_in_15d_3	0	74246	0
R_GR_un_15d_1	10	51944	22302
R_GR_un_15d_1	20	56061	18185
R_GR_un_15d_1	30	57794	16452
R_GR_un_15d_1	40	59069	15177
R_GR_un_15d_1	50	59782	14464
R_GR_un_15d_1	60	60126	14120
R_GR_un_15d_1	70	60659	13587
R_GR_un_15d_1	80	60978	13268
R_GR_un_15d_1	90	61209	13037
R_GR_un_15d_1	0	74246	0
R_GR_un_15d_2	10	52280	21966
R_GR_un_15d_2	20	56264	17982
R_GR_un_15d_2	30	57880	16366
R_GR_un_15d_2	40	59038	15208
R_GR_un_15d_2	50	59776	14470
R_GR_un_15d_2	60	60286	13960
R_GR_un_15d_2	70	60722	13524
R_GR_un_15d_2	80	60972	13274
R_GR_un_15d_2	90	61200	13046
R_GR_un_15d_2	0	74246	0
R_GR_un_15d_3	10	49201	25045
R_GR_un_15d_3	20	53840	20406
R_GR_un_15d_3	30	55911	18335
R_GR_un_15d_3	40	57007	17239
R_GR_un_15d_3	50	57851	16395
R_GR_un_15d_3	60	58381	15865
R_GR_un_15d_3	70	58893	15353
R_GR_un_15d_3	80	59110	15136
R_GR_un_15d_3	90	59298	14948
R_GR_un_15d_3	0	74246	0
R_GR_in_20d_1	10	50022	24224
R_GR_in_20d_1	20	53473	20773
R_GR_in_20d_1	30	54972	19274
R_GR_in_20d_1	40	55645	18601
R_GR_in_20d_1	50	56013	18233
R_GR_in_20d_1	60	56377	17869
R_GR_in_20d_1	70	56606	17640
R_GR_in_20d_1	80	56747	17499
R_GR_in_20d_1	90	56894	17352
R_GR_in_20d_1	0	74246	0
R_GR_in_20d_2	10	50217	24029
R_GR_in_20d_2	20	54219	20027
R_GR_in_20d_2	30	55998	18248
R_GR_in_20d_2	40	56909	17337
R_GR_in_20d_2	50	57811	16435
R_GR_in_20d_2	60	58206	16040
R_GR_in_20d_2	70	58535	15711
R_GR_in_20d_2	80	58812	15434
R_GR_in_20d_2	90	59170	15076
R_GR_in_20d_2	0	74246	0
R_GR_in_20d_3	10	49247	24999
R_GR_in_20d_3	20	53721	20525
R_GR_in_20d_3	30	55861	18385
R_GR_in_20d_3	40	57215	17031
R_GR_in_20d_3	50	58035	16211
R_GR_in_20d_3	60	58724	15522
R_GR_in_20d_3	70	59297	14949
R_GR_in_20d_3	80	59746	14500
R_GR_in_20d_3	90	60066	14180
R_GR_in_20d_3	0	74246	0
R_GR_un_20d_1	10	50244	24002
R_GR_un_20d_1	20	52730	21516
R_GR_un_20d_1	30	53540	20706
R_GR_un_20d_1	40	54080	20166
R_GR_un_20d_1	50	54399	19847
R_GR_un_20d_1	60	54523	19723
R_GR_un_20d_1	70	54766	19480
R_GR_un_20d_1	80	54834	19412
R_GR_un_20d_1	90	54892	19354
R_GR_un_20d_1	0	74246	0
R_GR_un_20d_2	10	33794	40452
R_GR_un_20d_2	20	36472	37774
R_GR_un_20d_2	30	37930	36316
R_GR_un_20d_2	40	38545	35701
R_GR_un_20d_2	50	39100	35146
R_GR_un_20d_2	60	39543	34703
R_GR_un_20d_2	70	39870	34376
R_GR_un_20d_2	80	40089	34157
R_GR_un_20d_2	90	40343	33903
R_GR_un_20d_2	0	74246	0
R_GR_un_20d_3	10	33824	40422
R_GR_un_20d_3	20	35854	38392
R_GR_un_20d_3	30	36898	37348
R_GR_un_20d_3	40	37518	36728
R_GR_un_20d_3	50	37923	36323
R_GR_un_20d_3	60	38254	35992
R_GR_un_20d_3	70	38631	35615
R_GR_un_20d_3	80	38904	35342
R_GR_un_20d_3	90	39044	35202
R_GR_un_20d_3	0	74246	0
R_GR_in_25d_1	10	49116	25130
R_GR_in_25d_1	20	53895	20351
R_GR_in_25d_1	30	56107	18139
R_GR_in_25d_1	40	57459	16787
R_GR_in_25d_1	50	58288	15958
R_GR_in_25d_1	60	58964	15282
R_GR_in_25d_1	70	59438	14808
R_GR_in_25d_1	80	59815	14431
R_GR_in_25d_1	90	60136	14110
R_GR_in_25d_1	0	74246	0
R_GR_in_25d_2	10	50305	23941
R_GR_in_25d_2	20	54663	19583
R_GR_in_25d_2	30	56661	17585
R_GR_in_25d_2	40	57861	16385
R_GR_in_25d_2	50	58836	15410
R_GR_in_25d_2	60	59440	14806
R_GR_in_25d_2	70	59823	14423
R_GR_in_25d_2	80	60250	13996
R_GR_in_25d_2	90	60617	13629
R_GR_in_25d_2	0	74246	0
R_GR_in_25d_3	10	49822	24424
R_GR_in_25d_3	20	54063	20183
R_GR_in_25d_3	30	56175	18071
R_GR_in_25d_3	40	57299	16947
R_GR_in_25d_3	50	58160	16086
R_GR_in_25d_3	60	58725	15521
R_GR_in_25d_3	70	59081	15165
R_GR_in_25d_3	80	59467	14779
R_GR_in_25d_3	90	59715	14531
R_GR_in_25d_3	0	74246	0
R_GR_un_25d_1	10	51471	22775
R_GR_un_25d_1	20	54980	19266
R_GR_un_25d_1	30	56667	17579
R_GR_un_25d_1	40	57375	16871
R_GR_un_25d_1	50	58066	16180
R_GR_un_25d_1	60	58354	15892
R_GR_un_25d_1	70	58594	15652
R_GR_un_25d_1	80	58759	15487
R_GR_un_25d_1	90	59063	15183
R_GR_un_25d_1	0	74246	0
R_GR_un_25d_2	10	52991	21255
R_GR_un_25d_2	20	57169	17077
R_GR_un_25d_2	30	58877	15369
R_GR_un_25d_2	40	59798	14448
R_GR_un_25d_2	50	60596	13650
R_GR_un_25d_2	60	61062	13184
R_GR_un_25d_2	70	61438	12808
R_GR_un_25d_2	80	61604	12642
R_GR_un_25d_2	90	61832	12414
R_GR_un_25d_2	0	74246	0
R_GR_un_25d_3	10	51636	22610
R_GR_un_25d_3	20	55745	18501
R_GR_un_25d_3	30	57721	16525
R_GR_un_25d_3	40	58754	15492
R_GR_un_25d_3	50	59415	14831
R_GR_un_25d_3	60	59883	14363
R_GR_un_25d_3	70	60329	13917
R_GR_un_25d_3	80	60498	13748
R_GR_un_25d_3	90	60723	13523
R_GR_un_25d_3	0	74246	0
