Sample	Database	Count	Ratio
R_GR_in_20d_3	mRNA	12141085	27.06
R_GR_in_20d_3	Genome	2136816	4.76
R_GR_in_20d_3	Others	1582512	3.53
R_GR_in_25d_1	rRNA	19728614	59.62
R_GR_in_25d_1	tRNA	573036	1.73
R_GR_in_25d_1	ncRNA	375191	1.13
R_GR_in_25d_1	mRNA	10611454	32.07
R_GR_in_25d_1	Genome	1056970	3.19
R_GR_in_25d_1	Others	745958	2.25
R_GR_in_25d_2	rRNA	25888828	63.11
R_GR_in_25d_2	tRNA	487492	1.19
R_GR_in_25d_2	ncRNA	420350	1.02
R_GR_in_25d_2	mRNA	11693132	28.5
R_GR_in_25d_2	Genome	1347813	3.29
R_GR_in_25d_2	Others	1185208	2.89
R_GR_in_25d_3	rRNA	30670101	66.78
R_GR_in_25d_3	tRNA	494440	1.08
R_GR_in_25d_3	ncRNA	485941	1.06
R_GR_in_25d_3	mRNA	11606899	25.27
R_GR_in_25d_3	Genome	1356793	2.95
R_GR_in_25d_3	Others	1315118	2.86
R_GR_in_02d_1	rRNA	20244117	60.72
R_GR_in_02d_1	tRNA	31762	0.1
R_GR_in_02d_1	ncRNA	264304	0.79
R_GR_in_02d_1	mRNA	9565546	28.69
R_GR_in_02d_1	Genome	1993326	5.98
R_GR_in_02d_1	Others	1238565	3.72
R_GR_in_02d_2	rRNA	25367886	63.02
R_GR_in_02d_2	tRNA	36671	0.09
R_GR_in_02d_2	ncRNA	286757	0.71
R_GR_in_02d_2	mRNA	11059258	27.48
R_GR_in_02d_2	Genome	2364920	5.88
R_GR_in_02d_2	Others	1135606	2.82
R_GR_in_02d_3	rRNA	41844378	64.4
R_GR_in_02d_3	tRNA	34552	0.05
R_GR_in_02d_3	ncRNA	462024	0.71
R_GR_in_02d_3	mRNA	17231974	26.52
R_GR_in_02d_3	Genome	3322461	5.11
R_GR_in_02d_3	Others	2080544	3.2
R_GR_in_04d_1	rRNA	59307490	68.01
R_GR_in_04d_1	tRNA	402504	0.46
R_GR_in_04d_1	ncRNA	501838	0.58
R_GR_in_04d_1	mRNA	13721634	15.73
R_GR_in_04d_1	Genome	10608116	12.16
R_GR_in_04d_1	Others	2663829	3.05
R_GR_in_04d_2	rRNA	34779625	57.54
R_GR_in_04d_2	tRNA	461214	0.76
R_GR_in_04d_2	ncRNA	517748	0.86
R_GR_in_04d_2	mRNA	13315332	22.03
R_GR_in_04d_2	Genome	8806907	14.57
R_GR_in_04d_2	Others	2568237	4.25
R_GR_in_04d_3	rRNA	41852048	64.58
R_GR_in_04d_3	tRNA	407571	0.63
R_GR_in_04d_3	ncRNA	499663	0.77
R_GR_in_04d_3	mRNA	11799597	18.21
R_GR_in_04d_3	Genome	6591539	10.17
R_GR_in_04d_3	Others	3659541	5.65
R_GR_in_07d_1	rRNA	14887233	55.23
R_GR_in_07d_1	tRNA	83015	0.31
R_GR_in_07d_1	ncRNA	717445	2.66
R_GR_in_07d_1	mRNA	9426688	34.97
R_GR_in_07d_1	Genome	1119518	4.15
R_GR_in_07d_1	Others	720147	2.67
R_GR_in_07d_2	rRNA	19983046	58.38
R_GR_in_07d_2	tRNA	106551	0.31
R_GR_in_07d_2	ncRNA	861296	2.52
R_GR_in_07d_2	mRNA	11047632	32.27
R_GR_in_07d_2	Genome	1350914	3.95
R_GR_in_07d_2	Others	881381	2.57
R_GR_un_10d_1	rRNA	40642534	65.55
R_GR_un_10d_1	tRNA	547841	0.88
R_GR_un_10d_1	ncRNA	743603	1.2
R_GR_un_10d_1	mRNA	11043286	17.81
R_GR_un_10d_1	Genome	5818070	9.38
R_GR_un_10d_1	Others	3204659	5.17
R_GR_un_10d_2	rRNA	58407804	67.63
R_GR_un_10d_2	tRNA	897729	1.04
R_GR_un_10d_2	ncRNA	1042304	1.21
R_GR_un_10d_2	mRNA	12647128	14.64
R_GR_un_10d_2	Genome	8510769	9.85
R_GR_un_10d_2	Others	4863572	5.63
R_GR_un_10d_3	rRNA	32965488	61.8
R_GR_un_10d_3	tRNA	642735	1.2
R_GR_un_10d_3	ncRNA	853758	1.6
R_GR_un_10d_3	mRNA	8512250	15.96
R_GR_un_10d_3	Genome	6111519	11.46
R_GR_un_10d_3	Others	4255733	7.98
R_GR_un_15d_1	rRNA	11662263	38.4
R_GR_un_15d_1	tRNA	151424	0.5
R_GR_un_15d_1	ncRNA	534447	1.76
R_GR_un_15d_1	mRNA	13242579	43.61
R_GR_un_15d_1	Genome	1583952	5.22
R_GR_un_15d_1	Others	3193484	10.52
R_GR_un_15d_2	rRNA	11874378	37.81
R_GR_un_15d_2	tRNA	143103	0.46
R_GR_un_15d_2	ncRNA	476355	1.52
R_GR_un_15d_2	mRNA	13665024	43.52
R_GR_un_15d_2	Genome	2191996	6.98
R_GR_un_15d_2	Others	3051230	9.72
R_GR_un_15d_3	rRNA	10850319	41.77
R_GR_un_15d_3	tRNA	154126	0.59
R_GR_un_15d_3	ncRNA	391065	1.51
R_GR_un_15d_3	mRNA	9881437	38.04
R_GR_un_15d_3	Genome	2256887	8.69
R_GR_un_15d_3	Others	2441207	9.4
R_GR_un_01d_1	rRNA	32571600	57.94
R_GR_un_01d_1	tRNA	85766	0.15
R_GR_un_01d_1	ncRNA	404171	0.72
R_GR_un_01d_1	mRNA	15867151	28.23
R_GR_un_01d_1	Genome	5140791	9.14
R_GR_un_01d_1	Others	2145221	3.82
R_GR_un_01d_2	rRNA	28204696	57.66
R_GR_un_01d_2	tRNA	185627	0.38
R_GR_un_01d_2	ncRNA	391757	0.8
R_GR_un_01d_2	mRNA	14099302	28.82
R_GR_un_01d_2	Genome	3894533	7.96
R_GR_un_01d_2	Others	2143296	4.38
R_GR_un_01d_3	rRNA	49310041	63.53
R_GR_un_01d_3	tRNA	74944	0.1
R_GR_un_01d_3	ncRNA	580782	0.75
R_GR_un_01d_3	mRNA	20171429	25.99
R_GR_un_01d_3	Genome	4497352	5.79
R_GR_un_01d_3	Others	2977907	3.84
R_GR_un_20d_1	rRNA	16601970	43.61
R_GR_un_20d_1	tRNA	375472	0.99
R_GR_un_20d_1	ncRNA	536541	1.41
R_GR_un_20d_1	mRNA	14703363	38.62
R_GR_un_20d_1	Genome	5059581	13.29
R_GR_un_20d_1	Others	794558	2.09
R_GR_un_20d_2	rRNA	43408953	61.22
R_GR_un_20d_2	tRNA	1032197	1.46
R_GR_un_20d_2	ncRNA	936983	1.32
R_GR_un_20d_2	mRNA	19527272	27.54
R_GR_un_20d_2	Genome	4484169	6.32
R_GR_un_20d_2	Others	1519031	2.14
R_GR_un_20d_3	rRNA	18727208	46.41
R_GR_un_20d_3	tRNA	838307	2.08
R_GR_un_20d_3	ncRNA	786800	1.95
R_GR_un_20d_3	mRNA	15494519	38.4
R_GR_un_20d_3	Genome	2770359	6.87
R_GR_un_20d_3	Others	1734708	4.3
R_GR_un_25d_1	rRNA	18152302	50.5
R_GR_un_25d_1	tRNA	312944	0.87
R_GR_un_25d_1	ncRNA	414263	1.15
R_GR_un_25d_1	mRNA	10826969	30.12
R_GR_un_25d_1	Genome	5285409	14.7
R_GR_un_25d_1	Others	952783	2.65
R_GR_un_25d_2	rRNA	19826790	50.51
R_GR_un_25d_2	tRNA	136423	0.35
R_GR_un_25d_2	ncRNA	475701	1.21
R_GR_un_25d_2	mRNA	11566003	29.47
R_GR_un_25d_2	Genome	6162390	15.7
R_GR_un_25d_2	Others	1083151	2.76
R_GR_un_25d_3	rRNA	17810320	51.78
R_GR_un_25d_3	tRNA	235594	0.68
R_GR_un_25d_3	ncRNA	429801	1.25
R_GR_un_25d_3	mRNA	9847152	28.63
R_GR_un_25d_3	Genome	5031804	14.63
R_GR_un_25d_3	Others	1044319	3.04
R_GR_un_02d_1	rRNA	23708985	51.39
R_GR_un_02d_1	tRNA	170018	0.37
R_GR_un_02d_1	ncRNA	361150	0.78
R_GR_un_02d_1	mRNA	12544936	27.19
R_GR_un_02d_1	Genome	7772799	16.85
R_GR_un_02d_1	Others	1580290	3.43
R_GR_un_02d_2	rRNA	28036106	56.63
R_GR_un_02d_2	tRNA	177896	0.36
R_GR_un_02d_2	ncRNA	388905	0.79
R_GR_un_02d_2	mRNA	13733528	27.74
R_GR_un_02d_2	Genome	4550041	9.19
R_GR_un_02d_2	Others	2619306	5.29
R_GR_un_02d_3	rRNA	29136395	66.63
R_GR_un_02d_3	tRNA	146686	0.34
R_GR_un_02d_3	ncRNA	281436	0.64
R_GR_un_02d_3	mRNA	10037912	22.95
R_GR_un_02d_3	Genome	2646558	6.05
R_GR_un_02d_3	Others	1482182	3.39
R_GR_un_04d_1	rRNA	20552888	55.63
R_GR_un_04d_1	tRNA	507502	1.37
R_GR_un_04d_1	ncRNA	393352	1.06
R_GR_un_04d_1	mRNA	11178513	30.26
R_GR_un_04d_1	Genome	2606820	7.06
R_GR_un_04d_1	Others	1704632	4.61
R_GR_un_04d_2	rRNA	44029006	67.44
R_GR_un_04d_2	tRNA	556853	0.85
R_GR_un_04d_2	ncRNA	484838	0.74
R_GR_un_04d_2	mRNA	11384247	17.44
R_GR_un_04d_2	Genome	5833982	8.94
R_GR_un_04d_2	Others	3001891	4.6
R_GR_un_04d_3	rRNA	15496212	50.95
R_GR_un_04d_3	tRNA	609229	2.0
R_GR_un_04d_3	ncRNA	464384	1.53
R_GR_un_04d_3	mRNA	10722273	35.26
R_GR_un_04d_3	Genome	1918637	6.31
R_GR_un_04d_3	Others	1201270	3.95
R_GR_un_07d_1	rRNA	9096945	39.68
R_GR_un_07d_1	tRNA	64125	0.28
R_GR_un_07d_1	ncRNA	474351	2.07
R_GR_un_07d_1	mRNA	11605047	50.61
R_GR_un_07d_1	Genome	1132250	4.94
R_GR_un_07d_1	Others	555382	2.42
R_GR_un_07d_2	rRNA	12550645	48.47
R_GR_un_07d_2	tRNA	110430	0.43
R_GR_un_07d_2	ncRNA	696088	2.69
R_GR_un_07d_2	mRNA	10917426	42.17
R_GR_un_07d_2	Genome	1131521	4.37
R_GR_un_07d_2	Others	485636	1.88
R_GR_un_07d_3	rRNA	14440011	52.33
R_GR_un_07d_3	tRNA	100674	0.36
R_GR_un_07d_3	ncRNA	681759	2.47
R_GR_un_07d_3	mRNA	10726015	38.87
R_GR_un_07d_3	Genome	1140094	4.13
R_GR_un_07d_3	Others	505075	1.83
